Gene	Fam	Cat
BgtE-5709	E024	G1
Bgt_avrF2_12	E008	G1
BgtE-5550	E032	G1
BgtE-5679	E032	G1
Bgt-51429	E008	G1
BgtE-5980	E004	G1
Bgt-50587	E050	G1
BgtE-5981	E004	G1
BgtE-20002	E018	G1
Bgt-51460	E018	G1
BgtAc-30847	E038	G1
Bgt-51704	E018	G1
BgtE-20057	E011	G1
Bgt_avrF2_6	E008	G1
Bgt-50967	E008	G1
Bgt-51338	E008	G1
Bgt_avrF2_10	E008	G1
Bgt_avrF2_11	E008	G1
Bgt-50552	E008	G1
Bgt_avrF2_9	E008	G1
Bgt_avrF2_23	E008	G1
Bgt_avrF2_24	E008	G1
Bgt_avrF2_7	E008	G1
Bgt_avrF2_2	E008	G1
Bgt_avrF2_1	E008	G1
Bgt-51822	E008	G1
Bgt_avrF2_3	E008	G1
BgtASP-21390	E008	G1
BgtAc-30982	E008	G1
Bgt-51185	E039	G1
BgtE-20013	E004	G1
BgtASP-20465	E004	G1
BgtE-20014	E004	G1
Bgt-51967	E004	G1
BgtE-10132	E004	G1
BgtE-5953	E004	G1
BgtE-20021	E004	G1
Bgt-50544	E004	G1
Bgt-50543	E004	G1
BgtE-20039	E004	G1
Bgt-50398	E004	G1
BgtE-20040	E004	G1
BgtE-20016	E004	G1
BgtE-20017	E004	G1
BgtE-5547	E004	G1
BgtAcSP-30782	E004	G1
BgtE-5612	E004	G1
BgtE-20015	E004	G1
BgtE-10118	E004	G1
Bgt-51363	E030	G1
BgtE-10110	E030	G1
Bgt-51359	E030	G1
Bgt-51357	E030	G1
BgtE-10111	E030	G1
Bgt-51348	E011	G1
BgtE-20062	E025	G1
BgtE-5543	E022	G1
BgtE-10003	E033	G1
BgtE-10116	E033	G1
BgtE-20074	E033	G1
Bgt-50513	E033	G1
Bgt-50516	E033	G1
BgtE-5781	E033	G1
BgtAcSP-31310	E003	G1
Bgt_avrF2_17	E018	G1
BgtE-20007	E018	G1
Bgt_avrF2_22	E008	G1
BgtE-5843	E014	G1
BgtE-5842	E014	G1
BgtE-5845	E014	G1
BgtE-5846	E014	G1
BgtAcSP-30091	E014	G1
BgtE-5944	E004	G1
BgtE-20020	E004	G1
Bgt-51992	E004	G1
BgtE-20019	E004	G1
BgtE-20018	E004	G1
BgtE-10126	E004	G1
BgtE-20034	E003	G1
BgtE-4403	E003	G1
Bgt-50590	E050	G1
BgtAcSP-31269	E048	G1
BgtE-20068	E032	G1
Bgt-50261	E032	G1
Bgt-50263	E032	G1
BgtAcSP-30305	E048	G1
BgtAc-30087	E048	G1
BgtE-20071	E047	G1
Bgt-51418	E045	G1
BgtE-20067	E045	G1
Bgt-51420	E045	G1
Bgt-51425	E045	G1
Bgt-51175	E011	G1
Bgt-51183	E039	G1
Bgt-51188	E039	G1
Bgt-51469	E047	G1
Bgt-50888	E012	G1
BgtE-5784	E021	G1
BgtE-5632	E011	G1
Bgt-50835	E011	G1
BgtE-5627	E011	G1
BgtE-5906	E011	G1
BgtE-20052	E011	G1
BgtE-5625	E011	G1
Bgt-50185	E011	G1
BgtE-20053	E011	G1
BgtE-20054	E011	G1
Bgt-50457	E011	G1
Bgt-50459	E011	G1
Bgt-50460	E011	G1
Bgt-50462	E011	G1
Bgt-20371	E004	G1
Bgt-51525	E004	G1
Bgt-51523	E004	G1
Bgt-51526	E004	G1
BgtAcSP-30824	E004	G1
BgtAcSP-31023	E004	G1
Bgt-51569	E003	G1
Bgt_avrF2_15	E008	G1
BgtE-3419	E003	G1
Bgt_avrF2_8	E008	G1
BgtE-10124	E014	G1
Bgt-20374	E034	G1
BgtE-3136	E034	G1
BgtE-5922	E034	G1
BgtE-5921	E034	G1
BgtE-20069a	E034	G1
BgtE-20069b	E034	G1
BgtE-5883	E034	G1
BgtASP-20571	E022	G1
BgtE-5563	E028	G1
Bgt-50846	E028	G1
Bgt-51235	E028	G1
Bgt-51237	E045	G1
Bgt-51241	E045	G1
BgtE-5570	E012	G1
BgtE-3388	E012	G1
BgtE-3888	E012	G1
BgtE-6035	E012	G1
Bgt-51105	E022	G1
Bgt-51106	E022	G1
Bgt-51103	E022	G1
BgtE-5582	E046	G1
Bgt-2708	E041	G1
Bgt-50168	E041	G1
Bgt-2135	E041	G1
BgtE-5722	E012	G1
BgtE-5724	E028	G1
BgtE-20079	E018	G1
Bgt-20375	E018	G1
Bgt-50297	E018	G1
Bgt-50291	E003	G1
Bgt-50876	E036	G1
BgtE-20006	E008	G1
BgtE-20009	E008	G1
BgtASP-20866	E008	G1
BgtE-20005	E008	G1
BgtAcSP-30056	E035	G1
BgtE-10024	E035	G1
Bgt-50406	E035	G1
BgtAcSP-30893	E035	G1
BgtE-20024	E035	G1
Bgt-50404	E035	G1
BgtE-5604	E035	G1
BgtAcSP-30775	E035	G1
BgtE-5966	E004	G1
Bgt_avrF2_16	E018	G1
Bgt-51827	E003	G1
BgtE-5571	E012	G1
BgtE-3602	E003	G1
BgtE-20090	E014	G1
Bgt-50847	E003	G1
BgtE-20030	E003	G1
Bgt-50246	E014	G1
Bgt-50249	E003	G1
Bgt-50245	E003	G1
BgtAcSP-30541	E003	G1
Bgt-50250	E003	G1
BgtE-20029	E003	G1
Bgt-50253	E003	G1
Bgt-50254	E003	G1
Bgt-50251	E003	G1
BgtE-20048	E003	G1
BgtE-10109	E003	G1
BgtE-20124	E003	G1
BgtE-20124-2	E003	G1
Bgt-51743	E003	G1
Bgt-51742	E003	G1
BgtE-20036	E003	G1
BgtE-20027	E003	G1
Bgt-51741	E003	G1
BgtE-5891	E003	G1
BgtE-20044	E003	G1
BgtE-20031	E003	G1
BgtE-5783	E003	G1
BgtE-20032	E003	G1
Bgt-51739	E003	G1
Bgt-55001	E012	G1
Bgt-55003	E028	G1
Bgt-55021	E028	G1
Bgt-55024	E047	G1
Bgt-55025	E047	G1
Bgt-55026	E047	G1
Bgt-55032	E047	G1
Bgt-55034	E022	G1
Bgt-55044	E014	G1
Bgt-55047	E003	G1
Bgt-55053	E047	G1
Bgt-55056	E047	G1
Bgt-55064	E011	G1
Bgt-55065	E003	G1
Bgt-55066	E045	G1
Bgt-55070	E004	G1
Bgt-55071	E048	G1
Bgt-55073	E048	G1
Bgt-55074	E048	G1
Bgt-55075	E048	G1
Bgt-55077	E003	G1
Bgt-55079	E008	G1
Bgt-55083	E041	G1
Bgt-55090	E008	G1
Bgt-55091	E008	G1
Bgt-55094	E020	G1
Bgt-55097	E003	G1
Bgt-55100	E004	G1
Bgt-55104	E022	G1
Bgt-55106	E018	G1
Bgt-55107	E004	G1
Bgt-55122	E041	G1
Bgt-55129	E011	G1
Bgt-55130	E003	G1
Bgt-55132	E045	G1
Bgt-55134	E004	G1
Bgt-55139	E039	G1
Bgt-55140	E039	G1
Bgt-55141	E003	G1
Bgt-55033	E030	G1
Bgt-55041	E053	G1
Bgt-55048	E053	G1
Bgt-55055	E038	G1
Bgt-55067	E036	G1
Bgt-55069	E003	G1
Bgt-55081	E003	G1
Bgt-55084	E029	G1
Bgt-55085	E011	G1
Bgt-55086	E046	G1
Bgt-55088	E003	G1
Bgt-55109	E053	G1
Bgt-55119	E053	G1
Bgt-55135	E024	G1
Bgt-55136	E024	G1
Bgt-55137	E003	G1
Bgt-55138	E024	G1
Bgt-55150	E018	G1
BgtE-6000	E013	G2
BgtE-10103	E013	G2
Bgt-51938	E013	G2
BgtE-5681	E013	G2
BgtAcSP-31586	E007	G2
BgtA-20962	E007	G2
BgtA-20014	E007	G2
BgtE-4557	E007	G2
Bgt-51283	E007	G2
BgtASP-20359	E031	G2
BgtAcSP-31292	E007	G2
BgtA-21558	E007	G2
BgtE-6037	E007	G2
BgtE-20089	E013	G2
BgtE-20099	E013	G2
BgtA-21008	E001	G2
BgtE-5619	E001	G2
Bgt-51773	E001	G2
BgtE-5620	E001	G2
BgtAcSP-31556	E001	G2
BgtE-5676	E013	G2
Bgt-50673	E001	G2
BgtAc-30080	E001	G2
BgtE-5780	E026	G2
BgtE-5778	E001	G2
Bgt-50961	E027	G2
Bgt-50960	E027	G2
Bgt-50959	E027	G2
Bgt-50958	E027	G2
Bgt-50954	E026	G2
Bgt-50953	E026	G2
BgtAcSP-31356	E026	G2
BgtE-20097	E026	G2
BgtE-5698	E026	G2
BgtE-5699	E026	G2
BgtE-6002	E026	G2
BgtE-20081	E026	G2
BgtE-5701	E001	G2
BgtE-5700	E001	G2
BgtE-6023	E005	G2
BgtAcSP-30643	E001	G2
BgtAcSP-30641	E001	G2
BgtAcSP-30639	E001	G2
BgtE-40000	E019	G2
BgtE-5576	E027	G2
BgtAc-31456	E026	G2
BgtE-4663	E001	G2
BgtE-5964	E005	G2
BgtE-5754	E001	G2
BgtE-5757	E001	G2
Bgt-51329	E001	G2
BgtAc-31526	E001	G2
BgtAc-30103	E001	G2
BgtE-10131	E005	G2
Bgt-50244	E001	G2
BgtE-5567	E005	G2
BgtAcSP-31411	E005	G2
BgtE-5668	E005	G2
Bgt-4375	E031	G2
BgtAc-30970	E001	G2
BgtA-20425	E007	G2
BgtE-5715	E015	G2
BgtE-5715-2	E015	G2
BgtAc-31225	E015	G2
BgtA-21224	E007	G2
BgtE-5713	E001	G2
BgtE-5703	E001	G2
BgtE-5707	E001	G2
Bgt-51915	E001	G2
Bgt-51917	E001	G2
BgtA-20740	E001	G2
Bgt-50535	E001	G2
BgtE-5769	E001	G2
BgtAc-30634	E001	G2
BgtE-5645	E019	G2
BgtE-5692	E019	G2
BgtE-5690	E019	G2
BgtE-20103	E019	G2
BgtE-10127	E019	G2
BgtE-10012	E001	G2
BgtAc-30796	E001	G2
BgtE-6030	E001	G2
BgtAcSP-31200	E001	G2
Bgt-50633	E001	G2
BgtE-10102	E001	G2
Bgt-60052	E013	G2
BgtE-5763-3	E013	G2
BgtAc-30687	E013	G2
BgtAc-30459	E013	G2
Bgt-50574	E013	G2
BgtA-21509	E013	G2
Bgt-51458	E013	G2
BgtA-20694	E013	G2
BgtE-5936	E001	G2
BgtE-3466	E013	G2
BgtE-20088	E013	G2
BgtE-10136	E040	G2
Bgt-51959	E040	G2
BgtE-40004	E005	G2
BgtE-5559	E040	G2
BgtAc-30466	E040	G2
Bgt-51963	E040	G2
BgtAc-30757	E015	G2
BgtE-5694	E001	G2
BgtE-5743	E001	G2
BgtE-5747	E001	G2
BgtE-5642	E001	G2
BgtE-10112	E001	G2
BgtE-5745	E001	G2
BgtE-5639	E001	G2
Bgt-50627	E001	G2
Bgt-50630	E001	G2
Bgt-50617	E001	G2
BgtAcSP-31267	E001	G2
Bgt-51165	E001	G2
Bgt-51164	E001	G2
Bgt-51151	E001	G2
BgtAcSP-31400	E001	G2
BgtE-5634	E001	G2
BgtE-5984	E001	G2
Bgt-51083	E001	G2
BgtA-20598	E001	G2
BgtAc-30750	E001	G2
BgtE-10128	E001	G2
BgtE-5989	E001	G2
BgtE-5605	E001	G2
BgtAc-31414	E001	G2
BgtAc-30027	E001	G2
BgtAc-30026	E001	G2
BgtAc-30163	E001	G2
BgtAc-30169	E001	G2
BgtE-5629	E001	G2
BgtAc-30509	E007	G2
BgtA-21331	E001	G2
BgtAcSP-30120	E013	G2
BgtE-20083	E015	G2
BgtA-20600	E015	G2
Bgt-51521	E015	G2
BgtAcSP-31482	E015	G2
BgtE-20127-2	E015	G2
BgtE-20127	E015	G2
Bgt-51568	E015	G2
BgtASP-20408	E015	G2
Bgt-51574	E015	G2
BgtAcSP-30419	E015	G2
BgtA-21525	E015	G2
BgtE-5738	E015	G2
Bgt-51577	E015	G2
Bgt-51575	E015	G2
Bgt-50068	E015	G2
BgtE-5740	E061	G2
BgtAcSP-31194	E061	G2
BgtAc-31195	E061	G2
BgtAc-31196	E061	G2
BgtA-20203	E001	G2
Bgt-51102	E027	G2
Bgt-51100	E027	G2
Bgt-51101	E027	G2
BgtE-5575	E027	G2
BgtE-6031	E013	G2
BgtASP-21585	E031	G2
BgtA-20593	E031	G2
Bgt-51441	E031	G2
BgtASP-20978	E031	G2
BgtE-6014	E007	G2
Bgt-50186	E001	G2
BgtE-10141	E007	G2
Bgt-50529	E007	G2
BgtE-5689	E007	G2
BgtA-20524	E001	G2
BgtE-10006	E001	G2
BgtAcSP-30161	E013	G2
BgtE-20082	E015	G2
BgtE-10104	E001	G2
BgtE-5992	E001	G2
BgtE-5862	E001	G2
Bgt-20263	E001	G2
BgtE-292	E001	G2
BgtE-5721	E001	G2
BgtE-5720	E001	G2
BgtE-5720-2	E001	G2
BgtAcSP-31496	E001	G2
BgtAc-30048	E001	G2
BgtAc-30865	E001	G2
BgtE-5723	E001	G2
BgtE-4463	E001	G2
BgtE-20011	E001	G2
BgtAcSP-30434	E001	G2
BgtASP-20446	E001	G2
Bgt-51586	E001	G2
Bgt-51585	E001	G2
BgtA-21577	E001	G2
BgtE-20010	E001	G2
BgtAc-31402	E001	G2
BgtE-5858	E007	G2
BgtE-4932	E007	G2
BgtE-10119	E007	G2
BgtE-20116	E007	G2
BgtA-21299	E007	G2
BgtE-5995	E007	G2
Bgt-51607	E007	G2
BgtAc-31542	E015	G2
Bgt-51601	E007	G2
BgtE-10140	E007	G2
BgtE-10142	E005	G2
BgtE-40006	E005	G2
Bgt-51948	E005	G2
Bgt-51947	E005	G2
BgtE-20109	E005	G2
BgtE-5791	E005	G2
BgtE-5553	E005	G2
BgtE-6051	E005	G2
BgtE-5584	E001	G2
BgtE-5583	E001	G2
BgtE-5613	E005	G2
BgtE-5782	E001	G2
Bgt-51941-2	E005	G2
Bgt-51941	E005	G2
Bgt-51944	E005	G2
BgtE-40003	E005	G2
BgtE-5548	E005	G2
Bgt-51637	E005	G2
Bgt-51638	E005	G2
Bgt-51636	E005	G2
BgtE-5561	E005	G2
BgtAc-30054	E001	G2
BgtE-5728	E001	G2
BgtAc-31483	E015	G2
BgtE-20012	E001	G2
Bgt-51832	E001	G2
BgtE-6004	E001	G2
BgtAc-30747	E001	G2
BgtA-21045	E007	G2
BgtE-10125	E007	G2
BgtE-20110	E007	G2
Bgt-55051	E001	G2
Bgt-51500	E005	G2
Bgt-55035	E001	G2
Bgt-55059	E001	G2
Bgt-55095	E001	G2
Bgt-55142	E019	G2
Bgt-55143	E019	G2
BgtE-20028	E005	G2
Bgt-20785	NonEff	NonEff
Bgt-50776	NonEff	NonEff
Bgt-50775	NonEff	NonEff
Bgt-51011	NonEff	NonEff
Bgt-51044	NonEff	NonEff
Bgt-51043	NonEff	NonEff
Bgt-51144	NonEff	NonEff
Bgt-50558	NonEff	NonEff
Bgt-51303	NonEff	NonEff
Bgt-51302	NonEff	NonEff
Bgt-51301	NonEff	NonEff
Bgt-51300	NonEff	NonEff
BgtA-21282	NonEff	NonEff
Bgt-51210	NonEff	NonEff
Bgt-51616	NonEff	NonEff
Bgt-51542	NonEff	NonEff
Bgt-51544	NonEff	NonEff
Bgt-51545	NonEff	NonEff
Bgt-51546	NonEff	NonEff
Bgt-51547	NonEff	NonEff
Bgt-20258	NonEff	NonEff
BgtA-20345	NonEff	NonEff
Bgt-1315	NonEff	NonEff
Bgt-62	NonEff	NonEff
Bgt-3901	NonEff	NonEff
BgtA-20343	NonEff	NonEff
Bgt-1602	NonEff	NonEff
Bgt-1597	NonEff	NonEff
Bgt-4730	NonEff	NonEff
BgtE-20121	NonEff	NonEff
Bgt-2313	NonEff	NonEff
BgtAc-30654	NonEff	NonEff
Bgt-1598	NonEff	NonEff
Bgt-973	NonEff	NonEff
Bgt-2532	NonEff	NonEff
Bgt-2533	NonEff	NonEff
Bgt-3333	NonEff	NonEff
BgtA-21035	NonEff	NonEff
Bgt-51550	NonEff	NonEff
Bgt-718	NonEff	NonEff
Bgt-3227	NonEff	NonEff
BgtAc-31439	NonEff	NonEff
BgtA-20329	NonEff	NonEff
Bgt-938	NonEff	NonEff
Bgt-3319	NonEff	NonEff
Bgt-4518	NonEff	NonEff
Bgt-4889	NonEff	NonEff
Bgt-255	NonEff	NonEff
Bgt-168	NonEff	NonEff
Bgt-3753	NonEff	NonEff
Bgt-1479	NonEff	NonEff
Bgt-20783	NonEff	NonEff
Bgt-154	NonEff	NonEff
BgtAc-31510	NonEff	NonEff
Bgt-2569	NonEff	NonEff
BgtA-20479	NonEff	NonEff
Bgt-746	NonEff	NonEff
Bgt-21000	NonEff	NonEff
Bgt-4454	NonEff	NonEff
BgtA-20476	NonEff	NonEff
Bgt-5294	NonEff	NonEff
Bgt-3578	NonEff	NonEff
Bgt-50053	NonEff	NonEff
Bgt-50054	NonEff	NonEff
Bgt-20478	NonEff	NonEff
Bgt-29	NonEff	NonEff
Bgt-2100	NonEff	NonEff
Bgt-2133	NonEff	NonEff
Bgt-3216	NonEff	NonEff
Bgt-2107	NonEff	NonEff
Bgt-2103	NonEff	NonEff
Bgt-357	NonEff	NonEff
BgtA-20392	NonEff	NonEff
Bgt-50055	NonEff	NonEff
Bgt-1739	NonEff	NonEff
Bgt-1737	NonEff	NonEff
BgtAc-30842	NonEff	NonEff
Bgt-20147	NonEff	NonEff
Bgt-20203-2	NonEff	NonEff
Bgt-145	NonEff	NonEff
Bgt-3391	NonEff	NonEff
Bgt-1736	NonEff	NonEff
Bgt-1651	NonEff	NonEff
Bgt-216	NonEff	NonEff
Bgt-51937	NonEff	NonEff
Bgt-1741	NonEff	NonEff
Bgt-51226	NonEff	NonEff
Bgt-1769	NonEff	NonEff
Bgt-1770	NonEff	NonEff
Bgt-810	NonEff	NonEff
Bgt-5142	NonEff	NonEff
Bgt-302	NonEff	NonEff
Bgt-20364	NonEff	NonEff
Bgt-51936	NonEff	NonEff
Bgt-1771	NonEff	NonEff
Bgt-5147	NonEff	NonEff
BgtA-20660	NonEff	NonEff
BgtA-20661	NonEff	NonEff
Bgt-480	NonEff	NonEff
BgtAc-30662	NonEff	NonEff
Bgt-629	NonEff	NonEff
Bgt-5282	NonEff	NonEff
Bgt-50770	NonEff	NonEff
Bgt-1187	NonEff	NonEff
Bgt-1186	NonEff	NonEff
Bgt-1897	NonEff	NonEff
Bgt-658	NonEff	NonEff
Bgt-1773	NonEff	NonEff
Bgt-1782	NonEff	NonEff
Bgt-3305	NonEff	NonEff
Bgt-2939	NonEff	NonEff
Bgt-1901	NonEff	NonEff
Bgt-879	NonEff	NonEff
Bgt-4850	NonEff	NonEff
Bgt-50184	NonEff	NonEff
Bgt-20463	NonEff	NonEff
Bgt-20194	NonEff	NonEff
Bgt-2582	NonEff	NonEff
Bgt-633	NonEff	NonEff
BgtA-20909	NonEff	NonEff
Bgt-1480	NonEff	NonEff
Bgt-1030	NonEff	NonEff
Bgt-20256	NonEff	NonEff
Bgt-4380	NonEff	NonEff
Bgt-603	NonEff	NonEff
Bgt-2878	NonEff	NonEff
Bgt-51579	NonEff	NonEff
Bgt-1858	NonEff	NonEff
Bgt-2399	NonEff	NonEff
Bgt-51581	NonEff	NonEff
Bgt-51582	NonEff	NonEff
Bgt-484	NonEff	NonEff
Bgt-1991	NonEff	NonEff
BgtA-20015	NonEff	NonEff
Bgt-162	NonEff	NonEff
Bgt-2464	NonEff	NonEff
BgtE-20108	NonEff	NonEff
Bgt-2473	NonEff	NonEff
Bgt-470	NonEff	NonEff
Bgt-2472	NonEff	NonEff
Bgt-2474	NonEff	NonEff
Bgt-5199-2	NonEff	NonEff
Bgt-5199	NonEff	NonEff
Bgt-4795	NonEff	NonEff
Bgt-587	NonEff	NonEff
BgtE-10123	NonEff	NonEff
Bgt-2549	NonEff	NonEff
Bgt-2548	NonEff	NonEff
Bgt-4640	NonEff	NonEff
Bgt-20334	NonEff	NonEff
Bgt-20919-2	NonEff	NonEff
BgtE-6013	NonEff	NonEff
Bgt-4186	NonEff	NonEff
Bgt-3676	NonEff	NonEff
Bgt-1329	NonEff	NonEff
BgtA-20681	NonEff	NonEff
Bgt-5001	NonEff	NonEff
Bgt-1386	NonEff	NonEff
Bgt-1250	NonEff	NonEff
Bgt-1249-2	NonEff	NonEff
Bgt-51968	NonEff	NonEff
Bgt-51367	NonEff	NonEff
BgtA-20918	NonEff	NonEff
Bgt-4185	NonEff	NonEff
Bgt-3622	NonEff	NonEff
Bgt-2547	NonEff	NonEff
BgtA-21385	NonEff	NonEff
BgtA-21384	NonEff	NonEff
Bgt-2641	NonEff	NonEff
Bgt-2545	NonEff	NonEff
Bgt-2544	NonEff	NonEff
Bgt-2543	NonEff	NonEff
Bgt-1112	NonEff	NonEff
Bgt-4790	NonEff	NonEff
Bgt-4789-2	NonEff	NonEff
Bgt-4789	NonEff	NonEff
Bgt-51364	NonEff	NonEff
Bgt-913	NonEff	NonEff
Bgt-2147	NonEff	NonEff
BgtA-20286	NonEff	NonEff
Bgt-4496	NonEff	NonEff
Bgt-4496-2	NonEff	NonEff
Bgt-4558	NonEff	NonEff
Bgt-1333	NonEff	NonEff
Bgt-3875	NonEff	NonEff
Bgt-4563	NonEff	NonEff
BgtASP-20287	NonEff	NonEff
BgtA-20288	NonEff	NonEff
Bgt-515	NonEff	NonEff
Bgt-1599	NonEff	NonEff
Bgt-278	NonEff	NonEff
Bgt-3694	NonEff	NonEff
BgtA-20645	NonEff	NonEff
Bgt-1432	NonEff	NonEff
Bgt-1431	NonEff	NonEff
Bgt-51491	NonEff	NonEff
Bgt-426	NonEff	NonEff
Bgt-426-2	NonEff	NonEff
Bgt-419-2	NonEff	NonEff
Bgt-4654	NonEff	NonEff
Bgt-1433	NonEff	NonEff
Bgt-5496	NonEff	NonEff
Bgt-51490	NonEff	NonEff
Bgt-4133	NonEff	NonEff
Bgt-5497	NonEff	NonEff
BgtA-20110	NonEff	NonEff
Bgt-20653	NonEff	NonEff
Bgt-4820	NonEff	NonEff
Bgt-50238	NonEff	NonEff
Bgt-50241	NonEff	NonEff
Bgt-50242	NonEff	NonEff
Bgt-20585	NonEff	NonEff
Bgt-50033	NonEff	NonEff
Bgt-50510	NonEff	NonEff
Bgt-60039	NonEff	NonEff
Bgt-51733	NonEff	NonEff
Bgt-51732	NonEff	NonEff
Bgt-51730	NonEff	NonEff
Bgt-20204	NonEff	NonEff
Bgt-20120	NonEff	NonEff
Bgt-51446	NonEff	NonEff
Bgt-441	NonEff	NonEff
Bgt-4148	NonEff	NonEff
Bgt-3545	NonEff	NonEff
Bgt-5152	NonEff	NonEff
BgtAc-31547	NonEff	NonEff
Bgt-51287	NonEff	NonEff
Bgt-421	NonEff	NonEff
Bgt-421-2	NonEff	NonEff
Bgt-1774	NonEff	NonEff
Bgt-1774-2	NonEff	NonEff
Bgt-1772	NonEff	NonEff
Bgt-3014	NonEff	NonEff
Bgt-20985	NonEff	NonEff
Bgt-127	NonEff	NonEff
BgtA-20492	NonEff	NonEff
Bgt-20790	NonEff	NonEff
BgtA-20952	NonEff	NonEff
Bgt-51284	NonEff	NonEff
Bgt-2402	NonEff	NonEff
Bgt-2402-2	NonEff	NonEff
Bgt-465	NonEff	NonEff
Bgt-5483	NonEff	NonEff
Bgt-2805	NonEff	NonEff
Bgt-3306	NonEff	NonEff
Bgt-4131	NonEff	NonEff
Bgt-5253	NonEff	NonEff
BgtA-20972	NonEff	NonEff
Bgt-3712	NonEff	NonEff
Bgt-3714	NonEff	NonEff
Bgt-2930	NonEff	NonEff
